ID,Chapter,Verse,EngMeaning,clean_text
BG1.1,1,1,"1.1 Dhritarashtra said  What did my people and the sons of Pandu do when they had assembled
together eager for battle on the holy plain of Kurukshetra, O Sanjaya.",dhritarashtra said people sons pandu assembled together eager battle holy plain kurukshetra sanjaya
BG1.2,1,2,"1.2. Sanjaya said  Having seen the army of the Pandavas drawn up in battle-array,
King Duryodhana then approached his teacher (Drona) and spoke these words.",sanjaya said seen army pandavas drawn battle array king duryodhana approached teacher drona spoke words
BG1.3,1,3,"1.3. ""Behold, O Teacher! this mighty army of the sons of Pandu,
arrayed by the son of Drupada, thy wise disciple.",behold teacher mighty army sons pandu arrayed son drupada thy wise disciple
BG1.4,1,4,"1.4. Here are heroes, mighty archers, eal in battle to Bhima
and Arjuna, Yoyudhana (Satyaki), Virata and Drupada, of the great car (mighty
warriors).",heroes mighty archers eal battle bhima arjuna yoyudhana satyaki virata drupada great car mighty warriors
BG1.5,1,5,"1.5. ""Dhrishtaketu, chekitana and the valiant king of Kasi, Purujit
and Kuntibhoja and Saibya, the best men.",dhrishtaketu chekitana valiant king kasi purujit kuntibhoja saibya best men
BG1.6,1,6,"1.6. ""The strong Yodhamanyu and the brave Uttamaujas, the son
of Subhadra (Abhimanyu, the son of Subhadra and Arjuna), and the sons of
Draupadi, all of great chariots (great heroes).",strong yodhamanyu brave uttamaujas son subhadra abhimanyu son subhadra arjuna sons draupadi great chariots great heroes
BG1.7,1,7,"1.7. ""Know also, O best among the twice-born! the names of those
who are the most distinguished amongst ourselves, the leaders of my army;
these I name to thee for thy information.",know also best among twice born names distinguished amongst leaders army name thee thy information
BG1.8,1,8,"1.8. ""Thyself and Bhishma, and Karna and also Kripa, the victorious
in war, Asvatthama, Vikarna, and also Bhurisrava, the son of Somadatta.",thyself bhishma karna also kripa victorious war asvatthama vikarna also bhurisrava son somadatta
BG1.9,1,9,"1.9. ""And also many other heroes who are ready to give up their
lives for my sake, armed with various weapons and missiles, all well-skilled
in battle.",also many heroes ready give lives sake armed various weapons missiles well skilled battle
BG1.10,1,10,"1.10. ""This army of ours marshalled by Bhishma is insufficient,
whereas that army of theirs marshelled by Bhima is sufficient.",army marshalled bhishma insufficient whereas army marshelled bhima sufficient
BG1.11,1,11,"1.11. ""Therefore do ye all, stationed in your respective positions,
in the several divisions of the army, protect Bhishma alone.""",therefore ye stationed respective positions several divisions army protect bhishma alone
BG1.12,1,12,"1.12. His glorious grandsire (Bhishma), the oldest of the Kauravas,
in order to cheer Duryodhana, now roared like a lion, and blew his conch.",glorious grandsire bhishma oldest kauravas order cheer duryodhana roared like lion blew conch
BG1.13,1,13,"1.13. Then (following Bhishma), conches and kettledrums, tabors,
drums and cow horns blared forth ite suddenly (from the Kaurava side)
and the sound was tremendous.",following bhishma conches kettledrums tabors drums cow horns blared forth ite suddenly kaurava side sound tremendous
BG1.14,1,14,"1.14. Then, also, Madhava (Krishna) and the son of Pandu (Arjuna),
seated in the magnificent chariot, yoked with white horses, blew divine
conches.",also madhava krishna son pandu arjuna seated magnificent chariot yoked white horses blew divine conches
