ID,Chapter,Verse,Shloka,Transliteration,EngMeaning,HinMeaning,Purport
BG1.1,1,1,"धृतराष्ट्र उवाच |
धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः |
मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय ||१-१||","dhṛtarāṣṭra uvāca .
dharmakṣetre kurukṣetre samavetā yuyutsavaḥ .
māmakāḥ pāṇḍavāścaiva kimakurvata sañjaya ||1-1||",।।1.1।।धृतराष्ट्र ने कहा -- हे संजय ! धर्मभूमि कुरुक्षेत्र में एकत्र हुए युद्ध के इच्छुक (युयुत्सव:) मेरे और पाण्डु के पुत्रों ने क्या किया?,।।1.1।।धृतराष्ट्र ने कहा -- हे संजय ! धर्मभूमि कुरुक्षेत्र में एकत्र हुए युद्ध के इच्छुक (युयुत्सव:) मेरे और पाण्डु के पुत्रों ने क्या किया?,"1.1. Dhrtarastra said  O Sanjaya, what did my sons (and others) and Pandu's sons (and others) actually do when, eager for battle, they assembled on the sacred field, the Kuruksetra (Field of the Kurus)?"
BG1.2,1,2,"सञ्जय उवाच |
दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा |
आचार्यमुपसंगम्य राजा वचनमब्रवीत् ||१-२||","sañjaya uvāca .
dṛṣṭvā tu pāṇḍavānīkaṃ vyūḍhaṃ duryodhanastadā .
ācāryamupasaṃgamya rājā vacanamabravīt ||1-2||",।।1.2।।संजय ने कहा -- पाण्डव-सैन्य की व्यूह रचना देखकर राजा दुर्योधन ने आचार्य द्रोण के पास जाकर ये वचन कहे।,।।1.2।।संजय ने कहा -- पाण्डव-सैन्य की व्यूह रचना देखकर राजा दुर्योधन ने आचार्य द्रोण के पास जाकर ये वचन कहे।,"1.2 Sanjaya said  But then, seeing the army of the Pandavas in battle array, King Duryodhana approached the teacher (Drona) and uttered a speech:"
BG1.3,1,3,"पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम् |
व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता ||१-३||","paśyaitāṃ pāṇḍuputrāṇāmācārya mahatīṃ camūm .
vyūḍhāṃ drupadaputreṇa tava śiṣyeṇa dhīmatā ||1-3||",।।1.3।।हे आचार्य ! आपके बुद्धिमान शिष्य द्रुपदपुत्र (धृष्टद्द्युम्न) द्वारा व्यूहाकार खड़ी की गयी पाण्डु पुत्रों की इस महती सेना को देखिये।,।।1.3।।हे आचार्य ! आपके बुद्धिमान शिष्य द्रुपदपुत्र (धृष्टद्द्युम्न) द्वारा व्यूहाकार खड़ी की गयी पाण्डु पुत्रों की इस महती सेना को देखिये।,"1.3 O teacher, (please) see this vast army of the sons of Pandu, arrayed for battle by the son of Drupada, your intelligent disciple."
BG1.4,1,4,"अत्र शूरा महेष्वासा भीमार्जुनसमा युधि |
युयुधानो विराटश्च द्रुपदश्च महारथः ||१-४||","atra śūrā maheṣvāsā bhīmārjunasamā yudhi .
yuyudhāno virāṭaśca drupadaśca mahārathaḥ ||1-4||","।।1.4।।इस सेना में महान् धनुर्धारी शूर योद्धा है ,  जो युद्ध में भीम और अर्जुन के समान हैं , जैसे --  युयुधान, विराट तथा महारथी राजा द्रुपद।","।।1.4।।इस सेना में महान् धनुर्धारी शूर योद्धा है ,  जो युद्ध में भीम और अर्जुन के समान हैं , जैसे --  युयुधान, विराट तथा महारथी राजा द्रुपद।","1.4 Here are the heroes wielding great bows, who in battle are compeers of Bhima and Arjuna: Yuyudhana (Satyaki) and Virata, and the maharatha (great chariot-rider) Drupada;"
BG1.5,1,5,"धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान् |
पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुंगवः ||१-५||","dhṛṣṭaketuścekitānaḥ kāśirājaśca vīryavān .
purujitkuntibhojaśca śaibyaśca narapuṃgavaḥ ||1-5||","।।1.5।।धृष्टकेतु, चेकितान, बलवान काशिराज,  पुरुजित्, कुन्तिभोज और मनुष्यों में श्रेष्ठ शैब्य।","।।1.5।।धृष्टकेतु, चेकितान, बलवान काशिराज,  पुरुजित्, कुन्तिभोज और मनुष्यों में श्रेष्ठ शैब्य।","1.5 Dhrstaketu, Cekitana, and the valiant king of Kasi (Varanasi); Purujit and Kuntibhoja, and Saibya, the choicest among men;"
BG1.6,1,6,"युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान् |
सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः ||१-६||","yudhāmanyuśca vikrānta uttamaujāśca vīryavān .
saubhadro draupadeyāśca sarva eva mahārathāḥ ||1-6||","।।1.6।।पराक्रमी युधामन्यु,  बलवान् उत्तमौजा,  सुभद्रापुत्र (अभिमन्यु) और द्रोपदी के पुत्र -- ये सब महारथी हैं।","।।1.6।।पराक्रमी युधामन्यु,  बलवान् उत्तमौजा,  सुभद्रापुत्र (अभिमन्यु) और द्रोपदी के पुत्र -- ये सब महारथी हैं।","1.6 And the chivalrous Yudhamanyu, and the valiant Uttamaujas; son of Subhadra (Abhimanyu) and the sons of Draupadi  all (of whom) are, verily, maharathas."
BG1.7,1,7,"अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम |
नायका मम सैन्यस्य संज्ञार्थं तान्ब्रवीमि ते ||१-७||","asmākaṃ tu viśiṣṭā ye tānnibodha dvijottama .
nāyakā mama sainyasya saṃjñārthaṃ tānbravīmi te ||1-7||","।।1.7।।हे द्विजोत्तम ! हमारे पक्ष में भी जो विशिष्ट योद्धागण हैं , उनको आप जान लीजिये; आपकी जानकारी के लिये अपनी सेना के नायकों के नाम मैं आपको बताता हूँ।","।।1.7।।हे द्विजोत्तम ! हमारे पक्ष में भी जो विशिष्ट योद्धागण हैं , उनको आप जान लीजिये; आपकी जानकारी के लिये अपनी सेना के नायकों के नाम मैं आपको बताता हूँ।","1.7 But, O best among the Brahmanas, please be appraised of those who are foremost among us, the ?nders of my army. I speak of them to you by way of example."
BG1.8,1,8,"भवान्भीष्मश्च कर्णश्च कृपश्च समितिञ्जयः |
अश्वत्थामा विकर्णश्च सौमदत्तिस्तथैव च ||१-८||","bhavānbhīṣmaśca karṇaśca kṛpaśca samitiñjayaḥ .
aśvatthāmā vikarṇaśca saumadattistathaiva ca ||1-8||","।।1.8।।एक तो स्वयं आप, भीष्म, कर्ण, और युद्ध विजयी कृपाचार्य तथा अश्वत्थामा, विकर्ण और सोमदत्त का पुत्र है।","।।1.8।।एक तो स्वयं आप, भीष्म, कर्ण, और युद्ध विजयी कृपाचार्य तथा अश्वत्थामा, विकर्ण और सोमदत्त का पुत्र है।","1.8 (They are:) Your venerable self, Bhisma and Karna, and Krpa who is ever victorious in battle; Asvatthama, Vikarna, Saumadatti and Jayadratha."
BG1.9,1,9,"अन्ये च बहवः शूरा मदर्थे त्यक्तजीविताः |
नानाशस्त्रप्रहरणाः सर्वे युद्धविशारदाः ||१-९||","anye ca bahavaḥ śūrā madarthe tyaktajīvitāḥ .
nānāśastrapraharaṇāḥ sarve yuddhaviśāradāḥ ||1-9||","।।1.9।।मेरे लिए प्राण त्याग करने के लिए तैयार, अनेक प्रकार के शस्त्रास्त्रों से सुसज्जित तथा युद्ध में कुशल और भी अनेक शूर वीर हैं।","।।1.9।।मेरे लिए प्राण त्याग करने के लिए तैयार, अनेक प्रकार के शस्त्रास्त्रों से सुसज्जित तथा युद्ध में कुशल और भी अनेक शूर वीर हैं।","1.9 There are many heroes who have dedicated their lives for my sake, who possess various kinds of weapons and missiles, (and) all of whom are skilled in battle."
BG1.10,1,10,"अपर्याप्तं तदस्माकं बलं भीष्माभिरक्षितम् |
पर्याप्तं त्विदमेतेषां बलं भीमाभिरक्षितम् ||१-१०||","aparyāptaṃ tadasmākaṃ balaṃ bhīṣmābhirakṣitam .
paryāptaṃ tvidameteṣāṃ balaṃ bhīmābhirakṣitam ||1-10||","।।1.10।।भीष्म के द्वारा हमारी रक्षित सेना अपर्याप्त है; किन्तु भीम द्वारा रक्षित उनकी सेना पर्याप्त है अथवा, भीष्म के द्वारा रक्षित हमारी सेना अपरिमित है किन्तु भीम के द्वारा रक्षित उनकी सेना परिमित ही है।","।।1.10।।भीष्म के द्वारा हमारी रक्षित सेना अपर्याप्त है; किन्तु भीम द्वारा रक्षित उनकी सेना पर्याप्त है अथवा, भीष्म के द्वारा रक्षित हमारी सेना अपरिमित है किन्तु भीम के द्वारा रक्षित उनकी सेना परिमित ही है।","1.10 Therefore, our army under the complete protection of Bhisma and others is unlimited. But this army of these (enemies), under the protection of Bhima and others is limited."
